смерти, 56, 0,0192%
смотрели, 56, 0,0192%
спросила, 56, 0,0192%
старик, 56, 0,0192%
сторон, 56, 0,0192%
хотелось, 56, 0,0192%
Марьи, 55, 0,01886%
велел, 55, 0,01886%
вопрос, 55, 0,01886%
говорю, 55, 0,01886%
другого, 55, 0,01886%
княжне, 55, 0,01886%
лошадей, 55, 0,01886%
месте, 55, 0,01886%
молодого, 55, 0,01886%
никого, 55, 0,01886%
письма, 55, 0,01886%
платье, 55, 0,01886%
чувствовала, 55, 0,01886%
Старый, 54, 0,01851%
Через, 54, 0,01851%
большой, 54, 0,01851%
деревне, 54, 0,01851%
какая, 54, 0,01851%
любил, 54, 0,01851%
мост, 54, 0,01851%
сколько, 54, 0,01851%
Ростову, 53, 0,01817%
вероятно, 53, 0,01817%
видал, 53, 0,01817%
женщины, 53, 0,01817%
знали, 53, 0,01817%
идти, 53, 0,01817%
людьми, 53, 0,01817%
мать, 53, 0,01817%
последнее, 53, 0,01817%
самой, 53, 0,01817%
смотреть, 53, 0,01817%
старого, 53, 0,01817%
То, 52, 0,01783%
верно, 52, 0,01783%
вечера, 52, 0,01783%
деньги, 52, 0,01783%
должна, 52, 0,01783%
дочь, 52, 0,01783%
именно, 52, 0,01783%
милая, 52, 0,01783%
сама, 52, 0,01783%
смеясь, 52, 0,01783%
спрашивал, 52, 0,01783%
Пьерy, 51, 0,01749%
взглядом, 51, 0,01749%
взглянул, 51, 0,01749%
ночи, 51, 0,01749%
одну, 51, 0,01749%
ожидая, 51, 0,01749%
почему, 51, 0,01749%
прошел, 51, 0,01749%
сюда, 51, 0,01749%
хоть, 51, 0,01749%
хочет, 51, 0,01749%
шли, 51, 0,01749%
Анатоля, 50, 0,01714%
Болконского, 50, 0,01714%
Кто, 50, 0,01714%
ближе, 50, 0,01714%
близко, 50, 0,01714%
вполне, 50, 0,01714%
иметь, 50, 0,01714%
находился, 50, 0,01714%
оба, 50, 0,01714%
однако, 50, 0,01714%
офицеров, 50, 0,01714%
самое, 50, 0,01714%
скажу, 50, 0,01714%
спокойно, 50, 0,01714%
сторону, 50, 0,01714%
французски, 50, 0,01714%
армию, 49, 0,0168%
гостиную, 49, 0,0168%
далеко, 49, 0,0168%
другим, 49, 0,0168%
желал, 49, 0,0168%
коли, 49, 0,0168%
наш, 49, 0,0168%
неприятеля, 49, 0,0168%
своею, 49, 0,0168%
слов, 49, 0,0168%
стоит, 49, 0,0168%
Ипполит, 48, 0,01646%
